rank,link,name,population,percent_of_world
1,/wiki/Demographics_of_China,China,1407809120,17.9
2,/wiki/Demographics_of_India,India,1376560090,17.5
3,/wiki/Demographics_of_the_United_States,United States,331616914,4.22
4,/wiki/Demographics_of_Indonesia,Indonesia,271350000,3.45
5,/wiki/Demographics_of_Pakistan,Pakistan,225200000,2.86
6,/wiki/Demographics_of_Brazil,Brazil,213093087,2.71
7,/wiki/Demographics_of_Nigeria,Nigeria,211401000,2.69
8,/wiki/Demographics_of_Bangladesh,Bangladesh,170611068,2.17
9,/wiki/Demographics_of_Russia,Russia,146171015,1.86
10,/wiki/Demographics_of_Mexico,Mexico,126014024,1.60
11,/wiki/Demographics_of_Japan,Japan,125410000,1.59
12,/wiki/Demographics_of_Ethiopia,Ethiopia,117876000,1.50
13,/wiki/Demographics_of_Philippines,Philippines,110180504,1.40
14,/wiki/Demographics_of_Egypt,Egypt,101828736,1.29
15,/wiki/Demographics_of_Vietnam,Vietnam,97580000,1.24
16,/wiki/Demographics_of_Democratic_Republic_of_the_Congo,DR Congo,92378000,1.17
17,/wiki/Demographics_of_Iran,Iran,84416887,1.07
18,/wiki/Demographics_of_Turkey,Turkey,83614362,1.06
19,/wiki/Demographics_of_Germany,Germany,83190556,1.06
20,/wiki/Demographics_of_France,France,67406000,0.857
21,/wiki/Demographics_of_United_Kingdom,United Kingdom,66796807,0.849
22,/wiki/Demographics_of_Thailand,Thailand,66642830,0.847
23,/wiki/Demographics_of_South_Africa,South Africa,59622350,0.758
24,/wiki/Demographics_of_Tanzania,Tanzania,59441988,0.756
25,/wiki/Demographics_of_Italy,Italy,59226539,0.753
26,/wiki/Demographics_of_Myanmar,Myanmar,55294979,0.703
27,/wiki/Demographics_of_South_Korea,South Korea,51702100,0.657
28,/wiki/Demographics_of_Colombia,Colombia,51049498,0.649
29,/wiki/Demographics_of_Kenya,Kenya,47564296,0.605
30,/wiki/Demographics_of_Spain,Spain,47351567,0.602
31,/wiki/Demographics_of_Argentina,Argentina,45808747,0.582
32,/wiki/Demographics_of_Algeria,Algeria,44700000,0.568
33,/wiki/Demographics_of_Sudan,Sudan,43441870,0.552
34,/wiki/Demographics_of_Uganda,Uganda,42885900,0.545
35,/wiki/Demographics_of_Ukraine,Ukraine,41527205,0.528
36,/wiki/Demographics_of_Iraq,Iraq,41190700,0.524
37,/wiki/Population_of_Canada,Canada,38444634,0.489
38,/wiki/Demographics_of_Poland,Poland,38230000,0.486
39,/wiki/Demographics_of_Morocco,Morocco,36240494,0.461
40,/wiki/Demographics_of_Uzbekistan,Uzbekistan,34843661,0.443
41,/wiki/Demographics_of_Saudi_Arabia,Saudi Arabia,34218169,0.435
42,/wiki/Demographics_of_Peru,Peru,33035304,0.420
43,/wiki/Demographics_of_Afghanistan,Afghanistan,32890171,0.418
44,/wiki/Demographics_of_Malaysia,Malaysia,32771260,0.417
45,/wiki/Demographics_of_Angola,Angola,32097671,0.408
46,/wiki/Demographics_of_Ghana,Ghana,30955202,0.394
47,/wiki/Demographics_of_Mozambique,Mozambique,30832244,0.392
48,/wiki/Demographics_of_Yemen,Yemen,30491000,0.388
49,/wiki/Demographics_of_Nepal,Nepal,30378055,0.386
50,/wiki/Demographics_of_Venezuela,Venezuela,28705000,0.365
51,/wiki/Demographics_of_Ivory_Coast,Ivory Coast,27087732,0.344
52,/wiki/Demographics_of_Madagascar,Madagascar,26923353,0.342
53,/wiki/Demographics_of_Australia,Australia,25791873,0.328
54,/wiki/Demographics_of_North_Korea,North Korea,25660000,0.326
55,/wiki/Demographics_of_Cameroon,Cameroon,24348251,0.310
56,/wiki/Demographics_of_Niger,Niger,24112753,0.307
–,/wiki/Demographics_of_Taiwan,Taiwan,23525623,0.299
57,/wiki/Demographics_of_Sri_Lanka,Sri Lanka,21919000,0.279
58,/wiki/Demographics_of_Burkina_Faso,Burkina Faso,21510181,0.273
59,/wiki/Demographics_of_Mali,Mali,20856000,0.265
60,/wiki/Demographics_of_Chile,Chile,19678363,0.250
61,/wiki/Demographics_of_Romania,Romania,19317984,0.246
